iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
NIC,LCN,Nicaragua,LMC,4611.840332,NA,NA,NA,NA,NA,NA,NA,NA,NA,5737723,NA,10800,2837,NA,NA,1528816.293
NLD,ECS,Netherlands,HIC,56849.375,35,5.4,4.3,20.24,21,14,NA,NA,NA,17332850,96206470,534410,4830495,NA,2391871,8805088
NOR,ECS,Norway,HIC,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,5347896,3030449,150000,1482000,415000,1054590,4149967.25
NPL,SAS,Nepal,LIC,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,0.9,NA,NA,28982772,NA,23000,5051,NA,13408.27,1768977.49
NRU,EAS,Nauru,UMC,11167.31934,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,13049,NA,NA,NA,NA,NA,6191.7505
NZL,EAS,New Zealand,HIC,41857.47656,28,4,4.5,37,7,8,1,11,NA,4692700,3000000,95000,NA,1750000,NA,3405000
OMN,MEA,Oman,HIC,30535.83398,27,6,NA,24,15,21,NA,2,5,3960925,735341,59000,1469835,NA,4500,1734885.15
PAK,SAS,Pakistan,LMC,4571.414551,30,6,4,20,13,9,2,2,14,193203472,NA,301000,1538000,NA,292000000,30760000
PAN,LCN,Panama,HIC,28436.35938,46.4,5.8,3.8,5.7,26.3,12,NA,NA,NA,3969249,NA,3200,NA,NA,3094.7,1472262.215
PER,LCN,Peru,UMC,11877.08398,50.43,3.05,2.64,21.7,7.44,10.52,1.25,NA,2.97,30973354,NA,182000,660180.1793,NA,7176,8356711.13
PHL,EAS,Philippines,LMC,7705.04541,52.31,2.34,4.22,21.52,8.7,10.55,0.37,NA,NA,103320224,NA,290000,4332222.32,NA,NA,14631922.9
PLW,EAS,Palau,HIC,18275.02539,26,5,10,9,15,32,1,NA,2,21503,NA,200,NA,NA,10.92,9426.7455
PNG,EAS,Papua New Guinea,LMC,3912.381104,31,NA,NA,42,16.6,10,NA,NA,NA,7755785,NA,7000,NA,NA,572,1000000
POL,ECS,Poland,HIC,33221.54297,37.27,10.07,2.17,26.69,11.27,12.13,NA,0.4,NA,37970872,135184220,224452,1679051,NA,2486818,12758213
PRI,LCN,Puerto Rico,HIC,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,3473181,NA,946.44,4.92,NA,NA,4170953
PRT,ECS,Portugal,HIC,34961.94531,36.49,6.73,1.85,27.68,13.64,10.72,NA,0.93,1.94,10269417,2743219,170078,701228,NA,817492,5268211
PRY,LCN,Paraguay,UMC,11810.42773,NA,NA,NA,NA,NA,NA,NA,NA,NA,6639119,NA,34200,NA,NA,NA,1818501.365
PSE,MEA,West Bank and Gaza,LMC,5985.683105,59.1,2.4,2.7,11.5,10.1,14.2,NA,NA,NA,4046901,NA,NA,62621,131344,4572,1387000
PYF,EAS,French Polynesia,HIC,60955.72656,47,3,3,29,16,2,NA,NA,NA,273528,NA,NA,NA,NA,360,147000
QAT,MEA,Qatar,HIC,96261.66406,57,4,9,5,11,14,NA,NA,NA,2109568,9706885,29000,105000,64000,450000,1000990.016
ROU,ECS,Romania,UMC,29983.55664,56.26,4.89,2.5,10.68,11.34,12.33,NA,2,NA,19356544,162995232,132268,590300,NA,915888,5419832.5
